timestamp_unix,elapsed_s,recall_at_k,qps,p50_ms,p95_ms,p99_ms,error_count,fault_active,fault_type,replication_factor
1778034079.9884272,0.303,1.0,50.0,12.283,14.634,15.396,0,0,partition,2
1778034080.2912269,0.605,1.0,50.0,13.95,14.435,14.459,0,0,partition,2
1778034080.5950606,0.909,1.0,50.0,11.432,13.085,13.29,0,0,partition,2
1778034080.8970158,1.211,1.0,50.0,12.296,12.774,13.249,0,0,partition,2
1778034081.1990495,1.513,0.993333,50.0,12.225,13.232,13.262,0,0,partition,2
1778034081.5011897,1.815,0.993333,50.0,11.459,12.343,12.401,0,0,partition,2
1778034081.803037,2.117,1.0,50.0,10.719,12.445,12.52,0,0,partition,2
1778034082.1046412,2.419,1.0,50.0,10.419,12.226,12.32,0,0,partition,2
1778034082.4068382,2.721,1.0,50.0,10.409,12.277,12.366,0,0,partition,2
1778034082.7084703,3.023,0.993333,50.0,11.605,12.546,12.756,0,0,partition,2
1778034083.0100954,3.324,1.0,50.0,11.963,13.165,13.294,0,0,partition,2
1778034083.3117573,3.626,1.0,50.0,13.3,13.608,13.725,0,0,partition,2
1778034083.614012,3.928,0.993333,50.0,13.146,13.523,13.655,0,0,partition,2
1778034083.9157832,4.23,1.0,50.0,13.037,13.676,13.804,0,0,partition,2
1778034084.217504,4.532,1.0,50.0,12.932,13.761,13.845,0,0,partition,2
1778034084.5192077,4.833,1.0,50.0,13.008,13.337,13.377,0,0,partition,2
1778034084.8209434,5.135,1.0,50.0,12.86,13.79,13.855,0,0,partition,2
1778034085.123759,5.438,1.0,33.33,13.041,74.211,114.071,0,0,partition,2
1778034085.4254467,5.74,1.0,50.0,11.208,12.006,12.195,0,0,partition,2
1778034085.727447,6.042,1.0,50.0,11.476,13.059,13.119,0,0,partition,2
1778034086.0293748,6.343,1.0,50.0,11.385,13.306,13.642,0,0,partition,2
1778034086.331273,6.645,0.986667,50.0,13.052,13.378,13.39,0,0,partition,2
1778034086.6328669,6.947,1.0,50.0,13.06,13.539,13.667,0,0,partition,2
1778034086.9344845,7.249,1.0,50.0,13.07,13.425,13.599,0,0,partition,2
1778034087.236109,7.55,1.0,50.0,13.096,13.616,13.802,0,0,partition,2
1778034087.5376928,7.852,1.0,50.0,12.883,13.148,13.2,0,0,partition,2
1778034087.8392978,8.153,1.0,50.0,13.063,13.505,13.68,0,0,partition,2
1778034088.1408913,8.455,0.993333,50.0,12.925,13.297,13.564,0,0,partition,2
1778034088.4424927,8.757,0.993333,50.0,12.969,13.106,13.121,0,0,partition,2
1778034088.7440054,9.058,1.0,50.0,12.526,13.229,13.245,0,0,partition,2
1778034089.0455906,9.36,1.0,50.0,12.587,13.231,13.607,0,0,partition,2
1778034089.3470886,9.661,1.0,50.0,12.754,13.096,13.136,0,0,partition,2
1778034089.6484125,9.963,1.0,50.0,13.021,13.43,13.739,0,0,partition,2
1778034089.9511867,10.265,1.0,50.0,12.88,13.973,15.304,0,0,partition,2
1778034090.2529018,10.567,1.0,50.0,12.867,13.426,13.563,0,0,partition,2
1778034090.5545876,10.869,1.0,50.0,12.837,13.073,13.167,0,0,partition,2
1778034090.8563275,11.17,1.0,50.0,12.52,13.155,13.159,0,0,partition,2
1778034091.1579742,11.472,0.993333,50.0,12.424,12.819,13.01,0,0,partition,2
1778034091.459704,11.774,1.0,50.0,12.059,13.307,13.688,0,0,partition,2
1778034091.761387,12.076,1.0,50.0,12.555,13.103,13.224,0,0,partition,2
1778034092.0638316,12.378,1.0,50.0,11.626,13.246,13.643,0,0,partition,2
1778034092.3655803,12.68,1.0,50.0,12.415,12.998,13.101,0,0,partition,2
1778034092.6672812,12.981,1.0,50.0,12.668,13.139,13.143,0,0,partition,2
1778034092.9689648,13.283,1.0,50.0,12.96,13.274,13.548,0,0,partition,2
1778034093.2706482,13.585,1.0,50.0,12.664,13.453,13.621,0,0,partition,2
1778034093.5728412,13.887,1.0,50.0,12.768,13.121,13.134,0,0,partition,2
1778034093.8748002,14.189,1.0,50.0,12.849,13.276,13.438,0,0,partition,2
1778034094.1764605,14.491,1.0,50.0,12.935,13.252,13.591,0,0,partition,2
1778034094.4781227,14.792,1.0,50.0,11.621,12.851,12.911,0,0,partition,2
1778034094.7810218,15.095,1.0,50.0,12.764,13.259,13.452,0,0,partition,2
1778034095.082664,15.397,1.0,50.0,12.769,13.411,13.81,0,0,partition,2
1778034095.3842762,15.698,0.993333,50.0,13.265,14.731,14.878,0,0,partition,2
1778034095.6871986,16.001,1.0,50.0,12.434,13.405,13.634,0,0,partition,2
1778034095.9900677,16.304,1.0,50.0,11.772,13.055,13.101,0,0,partition,2
1778034096.2932978,16.607,1.0,50.0,12.04,15.319,15.529,0,0,partition,2
1778034096.5953114,16.909,1.0,53.33,12.639,13.837,15.341,0,0,partition,2
1778034096.8968472,17.211,1.0,50.0,12.579,13.181,13.294,0,0,partition,2
1778034097.1983783,17.513,1.0,50.0,12.342,13.143,13.166,0,0,partition,2
1778034097.4999437,17.814,0.993333,50.0,12.435,12.964,13.168,0,0,partition,2
1778034097.8014598,18.116,1.0,50.0,12.436,12.647,12.742,0,0,partition,2
1778034098.1029794,18.417,1.0,50.0,12.575,12.979,13.041,0,0,partition,2
1778034098.4045208,18.719,1.0,50.0,12.439,12.823,12.977,0,0,partition,2
1778034098.706064,19.02,1.0,50.0,12.713,13.226,13.267,0,0,partition,2
1778034099.0076306,19.322,0.993333,50.0,12.809,13.208,13.548,0,0,partition,2
1778034099.3091516,19.623,1.0,50.0,12.39,13.091,13.155,0,0,partition,2
1778034099.6107037,19.925,0.993333,50.0,11.205,12.636,12.69,0,0,partition,2
1778034099.9122636,20.226,0.993333,50.0,10.949,12.788,13.05,0,0,partition,2
1778034100.2145019,20.529,1.0,50.0,11.633,14.399,17.35,0,0,partition,2
1778034100.516172,20.83,0.993333,50.0,12.541,14.941,16.842,0,0,partition,2
1778034100.8176959,21.132,1.0,50.0,11.57,12.538,12.681,0,0,partition,2
1778034101.119286,21.433,1.0,50.0,12.609,13.22,13.292,0,0,partition,2
1778034101.4208448,21.735,1.0,50.0,12.949,13.951,14.673,0,0,partition,2
1778034101.7224936,22.037,1.0,46.67,13.441,13.824,14.016,0,0,partition,2
1778034102.0243855,22.339,1.0,53.33,12.824,15.046,15.501,0,0,partition,2
1778034102.3259254,22.64,0.993333,50.0,12.768,13.248,13.386,0,0,partition,2
1778034102.627473,22.942,1.0,50.0,11.199,13.47,13.517,0,0,partition,2
1778034102.9290304,23.243,1.0,50.0,11.553,13.321,13.644,0,0,partition,2
1778034103.2305727,23.545,0.993333,50.0,12.342,12.579,12.605,0,0,partition,2
1778034103.5321417,23.846,1.0,50.0,12.331,13.186,13.22,0,0,partition,2
1778034103.833696,24.148,1.0,50.0,10.995,12.878,13.014,0,0,partition,2
1778034104.13521,24.449,1.0,50.0,11.012,12.317,12.555,0,0,partition,2
1778034104.4367664,24.751,0.993333,50.0,11.441,11.95,11.998,0,0,partition,2
1778034104.7382994,25.052,0.993333,50.0,11.585,12.318,12.321,0,0,partition,2
1778034105.039844,25.354,0.986667,50.0,11.736,12.216,12.358,0,0,partition,2
1778034105.3413656,25.655,1.0,50.0,10.144,12.162,12.333,0,0,partition,2
1778034105.6436384,25.958,1.0,50.0,12.559,14.151,15.658,0,0,partition,2
1778034105.9452722,26.259,1.0,50.0,12.811,13.168,13.396,0,0,partition,2
1778034106.2467897,26.561,1.0,50.0,12.974,13.504,13.529,0,0,partition,2
1778034106.5483234,26.862,1.0,50.0,12.879,13.177,13.355,0,0,partition,2
1778034106.8498425,27.164,1.0,50.0,12.73,13.473,13.521,0,0,partition,2
1778034107.1513836,27.466,1.0,50.0,12.914,13.21,13.356,0,0,partition,2
1778034107.4529204,27.767,1.0,50.0,12.814,13.123,13.136,0,0,partition,2
1778034107.7544422,28.069,1.0,50.0,12.474,13.425,13.43,0,0,partition,2
1778034108.0560057,28.37,1.0,50.0,12.718,13.257,13.663,0,0,partition,2
1778034108.3575425,28.672,1.0,50.0,11.684,13.007,13.008,0,0,partition,2
1778034108.6591337,28.973,1.0,50.0,12.809,13.256,13.581,0,0,partition,2
1778034108.960701,29.275,1.0,50.0,12.784,15.925,17.902,0,0,partition,2
1778034109.2622294,29.576,1.0,50.0,12.69,13.828,15.017,0,0,partition,2
1778034109.5637898,29.878,0.993333,50.0,12.793,13.121,13.334,0,0,partition,2
1778034109.8653295,30.179,1.0,50.0,12.464,13.063,13.131,0,1,partition,2
1778034110.1668472,30.481,1.0,50.0,12.342,13.1,13.382,0,1,partition,2
1778034110.4683716,30.782,1.0,50.0,12.658,13.208,13.442,0,1,partition,2
1778034110.7699087,31.084,1.0,50.0,12.356,13.073,13.145,0,1,partition,2
1778034111.0714731,31.386,1.0,50.0,11.469,12.448,12.486,0,1,partition,2
1778034111.372994,31.687,1.0,50.0,10.939,12.383,12.442,0,1,partition,2
1778034111.674501,31.989,1.0,50.0,10.957,12.797,12.892,0,1,partition,2
1778034111.9760342,32.29,1.0,50.0,10.992,12.417,12.43,0,1,partition,2
1778034112.2775521,32.592,1.0,50.0,11.716,12.952,12.97,0,1,partition,2
1778034112.5790648,32.893,1.0,50.0,11.875,13.177,13.197,0,1,partition,2
1778034112.8806014,33.195,1.0,50.0,11.068,11.914,12.019,0,1,partition,2
1778034113.1821325,33.496,1.0,50.0,11.802,13.606,13.674,0,1,partition,2
1778034113.4837554,33.798,1.0,50.0,11.041,12.137,12.391,0,1,partition,2
1778034113.7852933,34.099,0.993333,50.0,12.277,13.818,13.938,0,1,partition,2
1778034114.0868144,34.401,1.0,50.0,11.045,13.217,13.698,0,1,partition,2
1778034114.3883395,34.702,0.993333,50.0,12.495,13.484,13.7,0,1,partition,2
1778034114.6898353,35.004,1.0,50.0,12.991,13.45,13.457,0,1,partition,2
1778034114.9913685,35.305,1.0,50.0,12.9,13.188,13.526,0,1,partition,2
1778034115.2928834,35.607,0.993333,50.0,12.853,13.249,13.446,0,1,partition,2
1778034115.5944047,35.909,1.0,50.0,11.214,12.711,13.017,0,1,partition,2
1778034115.8959436,36.21,0.993333,50.0,12.799,13.058,13.081,0,1,partition,2
1778034116.198157,36.512,1.0,50.0,12.851,14.67,15.676,0,1,partition,2
1778034116.4997947,36.814,0.993333,50.0,12.698,13.086,13.355,0,1,partition,2
1778034116.8013265,37.115,1.0,50.0,12.541,12.924,12.956,0,1,partition,2
1778034117.102871,37.417,1.0,50.0,11.33,13.17,13.289,0,1,partition,2
1778034117.404396,37.719,1.0,50.0,10.953,11.912,12.724,0,1,partition,2
1778034117.705929,38.02,1.0,50.0,10.972,12.613,12.865,0,1,partition,2
1778034118.0075111,38.322,1.0,50.0,12.22,13.184,13.529,0,1,partition,2
1778034118.30904,38.623,1.0,50.0,12.896,15.162,17.337,0,1,partition,2
1778034118.6105683,38.925,1.0,50.0,12.216,13.528,14.313,0,1,partition,2
1778034118.912114,39.226,1.0,50.0,12.485,13.267,13.285,0,1,partition,2
1778034119.213638,39.528,0.986667,50.0,12.44,13.215,13.439,0,1,partition,2
1778034119.51515,39.829,1.0,50.0,12.279,12.981,12.988,0,1,partition,2
1778034119.816699,40.131,0.993333,50.0,12.331,12.994,13.06,0,1,partition,2
1778034120.1182292,40.432,1.0,50.0,12.977,14.109,14.203,0,1,partition,2
1778034120.419522,40.734,1.0,50.0,12.322,13.213,13.359,0,1,partition,2
1778034120.7209918,41.035,1.0,50.0,12.738,13.205,13.232,0,1,partition,2
1778034121.0225232,41.337,1.0,50.0,12.657,13.037,13.21,0,1,partition,2
1778034121.324086,41.638,1.0,50.0,12.898,13.179,13.3,0,1,partition,2
1778034121.6256227,41.94,1.0,50.0,12.71,13.252,13.463,0,1,partition,2
1778034121.9271533,42.241,1.0,50.0,11.095,12.978,13.096,0,1,partition,2
1778034122.229415,42.544,0.993333,50.0,12.913,14.491,15.259,0,1,partition,2
1778034122.5310402,42.845,1.0,50.0,11.026,13.22,13.399,0,1,partition,2
1778034122.8325386,43.147,1.0,50.0,11.417,13.274,13.513,0,1,partition,2
1778034123.134064,43.448,1.0,50.0,12.737,13.22,13.492,0,1,partition,2
1778034123.4356515,43.75,1.0,50.0,11.084,13.0,13.041,0,1,partition,2
1778034123.7371738,44.051,1.0,50.0,11.001,13.262,13.524,0,1,partition,2
1778034124.0387075,44.353,1.0,50.0,12.631,13.154,13.183,0,1,partition,2
1778034124.340242,44.654,1.0,50.0,11.301,13.24,13.563,0,1,partition,2
1778034124.6417694,44.956,0.993333,50.0,12.7,13.188,13.266,0,1,partition,2
1778034124.9432929,45.257,1.0,50.0,12.398,13.18,13.234,0,1,partition,2
1778034125.2448142,45.559,0.993333,50.0,12.935,13.333,13.692,0,1,partition,2
1778034125.5463376,45.86,0.993333,50.0,12.901,13.522,13.559,0,1,partition,2
1778034125.847878,46.162,0.993333,50.0,12.782,13.076,13.377,0,1,partition,2
1778034126.1494107,46.464,1.0,50.0,12.837,13.344,13.645,0,1,partition,2
1778034126.450988,46.765,1.0,46.67,12.668,13.851,14.017,0,1,partition,2
1778034126.7528338,47.067,0.99375,53.33,13.138,13.836,14.802,0,1,partition,2
1778034127.054346,47.368,1.0,50.0,12.833,13.64,13.911,0,1,partition,2
1778034127.3567736,47.671,1.0,50.0,12.832,14.057,14.486,0,1,partition,2
1778034127.6583931,47.973,1.0,50.0,12.784,13.366,13.551,0,1,partition,2
1778034127.9599662,48.274,1.0,50.0,12.859,13.96,14.775,0,1,partition,2
1778034128.2614825,48.576,1.0,50.0,12.871,13.304,13.494,0,1,partition,2
1778034128.563,48.877,1.0,50.0,12.864,13.295,13.739,0,1,partition,2
1778034128.8645332,49.179,1.0,50.0,11.246,13.079,13.091,0,1,partition,2
1778034129.1660306,49.48,1.0,50.0,12.997,13.161,13.267,0,1,partition,2
1778034129.4675674,49.782,1.0,50.0,10.937,12.79,12.918,0,1,partition,2
1778034129.7691147,50.083,0.993333,50.0,12.508,12.959,12.968,0,1,partition,2
1778034130.0706255,50.385,1.0,50.0,12.45,12.87,12.888,0,1,partition,2
1778034130.3722174,50.686,1.0,50.0,12.568,13.263,13.353,0,1,partition,2
1778034130.6737397,50.988,1.0,50.0,12.71,12.882,12.915,0,1,partition,2
1778034130.9752874,51.289,1.0,50.0,12.425,13.281,13.336,0,1,partition,2
1778034131.276826,51.591,1.0,50.0,12.357,12.99,13.068,0,1,partition,2
1778034131.5783644,51.892,0.993333,50.0,10.99,12.54,12.568,0,1,partition,2
1778034131.8799205,52.194,0.993333,50.0,11.289,12.836,13.003,0,1,partition,2
1778034132.1814508,52.496,1.0,50.0,12.435,13.243,13.429,0,1,partition,2
1778034132.4837232,52.798,1.0,50.0,10.906,13.261,14.614,0,1,partition,2
1778034132.785348,53.099,1.0,50.0,12.137,13.001,13.1,0,1,partition,2
1778034133.0868561,53.401,1.0,50.0,12.703,13.151,13.463,0,1,partition,2
1778034133.3883672,53.702,1.0,50.0,12.343,13.033,13.198,0,1,partition,2
1778034133.6899045,54.004,1.0,50.0,12.592,13.051,13.272,0,1,partition,2
1778034133.9914613,54.306,0.993333,50.0,12.304,13.219,13.528,0,1,partition,2
1778034134.293038,54.607,0.993333,50.0,10.986,13.567,13.754,0,1,partition,2
1778034134.5945766,54.909,1.0,50.0,10.932,12.788,12.832,0,1,partition,2
1778034134.8961337,55.21,1.0,50.0,11.083,12.397,12.429,0,1,partition,2
1778034135.1976442,55.512,1.0,50.0,11.166,13.029,13.145,0,1,partition,2
1778034135.4991765,55.813,1.0,50.0,12.25,12.627,12.936,0,1,partition,2
1778034135.8007255,56.115,1.0,50.0,11.583,12.586,12.609,0,1,partition,2
1778034136.1022468,56.416,1.0,50.0,12.355,13.239,13.456,0,1,partition,2
1778034136.4038312,56.718,0.993333,50.0,11.044,12.427,12.543,0,1,partition,2
1778034136.705348,57.019,1.0,50.0,12.91,13.33,13.542,0,1,partition,2
1778034137.00689,57.321,0.993333,50.0,12.917,13.798,14.275,0,1,partition,2
1778034137.3083522,57.622,1.0,50.0,12.868,13.111,13.122,0,1,partition,2
1778034137.609835,57.924,0.993333,50.0,12.376,13.252,13.428,0,1,partition,2
1778034137.9114513,58.226,1.0,50.0,11.061,12.924,13.008,0,1,partition,2
1778034138.213146,58.527,0.993333,50.0,12.986,13.324,13.622,0,1,partition,2
1778034138.515408,58.83,1.0,50.0,12.991,14.965,16.627,0,1,partition,2
1778034138.817011,59.131,1.0,50.0,12.712,13.393,13.536,0,1,partition,2
1778034139.118534,59.433,1.0,50.0,13.041,13.344,13.381,0,1,partition,2
1778034139.4200587,59.734,1.0,50.0,12.907,13.577,13.586,0,1,partition,2
1778034139.7215905,60.036,1.0,50.0,12.441,13.06,13.12,0,1,partition,2
1778034140.0231209,60.337,1.0,50.0,12.835,13.059,13.071,0,1,partition,2
1778034140.324672,60.639,1.0,50.0,12.92,13.554,13.625,0,1,partition,2
1778034140.62621,60.94,0.993333,50.0,12.932,13.133,13.222,0,1,partition,2
1778034140.927763,61.242,1.0,50.0,11.092,13.474,13.61,0,1,partition,2
1778034141.2292929,61.543,1.0,50.0,12.671,13.301,13.601,0,1,partition,2
1778034141.5308268,61.845,0.993333,50.0,11.149,13.05,13.127,0,1,partition,2
1778034141.832362,62.146,1.0,50.0,12.767,13.055,13.16,0,1,partition,2
1778034142.1338818,62.448,1.0,50.0,12.978,13.301,13.479,0,1,partition,2
1778034142.4354117,62.75,1.0,50.0,12.43,13.311,13.471,0,1,partition,2
1778034142.7371993,63.051,1.0,46.67,12.204,13.075,13.078,0,1,partition,2
1778034143.0390654,63.353,1.0,53.33,12.176,13.426,14.562,0,1,partition,2
1778034143.3403528,63.654,1.0,50.0,12.936,13.076,13.125,0,1,partition,2
1778034143.641879,63.956,1.0,50.0,12.916,13.393,13.485,0,1,partition,2
1778034143.943538,64.258,1.0,50.0,12.867,13.195,13.263,0,1,partition,2
1778034144.2447736,64.559,1.0,50.0,12.899,13.315,13.434,0,1,partition,2
1778034144.547376,64.861,1.0,46.67,12.893,15.341,16.659,0,1,partition,2
1778034144.8494148,65.164,1.0,53.33,12.98,14.016,15.005,0,1,partition,2
1778034145.1509314,65.465,1.0,50.0,12.84,13.175,13.374,0,1,partition,2
1778034145.4524293,65.767,0.993333,50.0,12.68,13.059,13.126,0,1,partition,2
1778034145.7539408,66.068,0.993333,50.0,12.562,13.182,13.371,0,1,partition,2
1778034146.0555034,66.37,1.0,50.0,12.244,13.191,13.43,0,1,partition,2
1778034146.3570304,66.671,1.0,50.0,12.831,13.17,13.529,0,1,partition,2
1778034146.6585512,66.973,1.0,50.0,11.665,12.914,12.959,0,1,partition,2
1778034146.9600956,67.274,1.0,50.0,12.697,13.092,13.248,0,1,partition,2
1778034147.2616663,67.576,1.0,50.0,11.139,13.182,13.363,0,1,partition,2
1778034147.5631802,67.877,1.0,50.0,12.637,13.071,13.131,0,1,partition,2
1778034147.864765,68.179,1.0,50.0,11.545,13.076,13.304,0,1,partition,2
1778034148.166289,68.48,1.0,50.0,11.089,13.146,13.303,0,1,partition,2
1778034148.4678338,68.782,1.0,50.0,11.001,12.934,12.987,0,1,partition,2
1778034148.7700844,69.084,1.0,50.0,12.896,14.784,16.992,0,1,partition,2
1778034149.0717282,69.386,1.0,50.0,12.855,13.105,13.348,0,1,partition,2
1778034149.3732831,69.687,1.0,50.0,11.436,13.269,13.448,0,1,partition,2
1778034149.6748202,69.989,0.993333,50.0,12.801,13.217,13.495,0,1,partition,2
1778034149.976345,70.29,1.0,50.0,12.927,13.156,13.326,0,1,partition,2
1778034150.2778845,70.592,1.0,50.0,12.911,13.42,13.448,0,1,partition,2
1778034150.5794177,70.894,1.0,50.0,12.929,13.195,13.382,0,1,partition,2
1778034150.8809369,71.195,1.0,50.0,12.777,13.063,13.13,0,1,partition,2
1778034151.1824749,71.497,1.0,50.0,13.021,13.515,13.678,0,1,partition,2
1778034151.4840326,71.798,0.993333,50.0,12.712,13.052,13.061,0,1,partition,2
1778034151.7855525,72.1,1.0,50.0,12.66,13.268,13.544,0,1,partition,2
1778034152.0870883,72.401,1.0,50.0,11.861,12.991,13.209,0,1,partition,2
1778034152.388612,72.703,1.0,50.0,12.613,13.006,13.022,0,1,partition,2
1778034152.6901853,73.004,1.0,50.0,13.084,13.667,13.682,0,1,partition,2
1778034152.9919305,73.306,1.0,50.0,12.615,13.663,13.806,0,1,partition,2
1778034153.2934492,73.608,0.993333,50.0,12.402,13.096,13.253,0,1,partition,2
1778034153.5949812,73.909,1.0,50.0,12.309,12.998,12.998,0,1,partition,2
1778034153.896513,74.211,1.0,50.0,12.876,13.239,13.353,0,1,partition,2
1778034154.198033,74.512,1.0,50.0,12.452,14.06,14.299,0,1,partition,2
1778034154.4995928,74.814,1.0,50.0,12.724,13.392,13.445,0,1,partition,2
1778034154.8011167,75.115,1.0,50.0,12.873,13.262,13.54,0,1,partition,2
1778034155.1026516,75.417,1.0,50.0,12.893,13.252,13.477,0,1,partition,2
1778034155.4052181,75.719,1.0,46.67,12.922,14.303,15.371,0,1,partition,2
1778034155.7068768,76.021,1.0,53.33,12.902,13.847,15.675,0,1,partition,2
1778034156.0083644,76.322,1.0,50.0,12.893,13.375,13.458,0,1,partition,2
1778034156.3098853,76.624,1.0,50.0,12.871,13.039,13.084,0,1,partition,2
1778034156.6114378,76.926,1.0,50.0,12.824,13.176,13.532,0,1,partition,2
1778034156.9129705,77.227,1.0,50.0,12.895,13.447,13.487,0,1,partition,2
1778034157.2144907,77.529,0.986667,50.0,12.904,13.273,13.573,0,1,partition,2
1778034157.516051,77.83,1.0,50.0,12.88,13.066,13.226,0,1,partition,2
1778034157.8175836,78.132,1.0,50.0,12.936,13.707,13.737,0,1,partition,2
1778034158.1191092,78.433,1.0,50.0,12.801,13.144,13.409,0,1,partition,2
1778034158.420634,78.735,1.0,50.0,12.725,13.089,13.315,0,1,partition,2
1778034158.722161,79.036,1.0,50.0,12.439,13.21,13.436,0,1,partition,2
1778034159.023731,79.338,0.993333,50.0,12.606,13.017,13.022,0,1,partition,2
1778034159.325256,79.639,1.0,50.0,10.995,13.212,13.521,0,1,partition,2
1778034159.6267812,79.941,1.0,50.0,11.586,13.012,13.025,0,1,partition,2
1778034159.9283087,80.242,1.0,50.0,12.53,13.222,13.528,0,1,partition,2
1778034160.2298281,80.544,1.0,50.0,11.486,13.581,13.752,0,1,partition,2
1778034160.5313873,80.846,1.0,50.0,12.747,13.287,13.409,0,1,partition,2
1778034160.8329053,81.147,1.0,50.0,12.814,13.305,13.674,0,1,partition,2
1778034161.1344342,81.449,1.0,50.0,12.819,13.34,13.439,0,1,partition,2
1778034161.4359853,81.75,1.0,50.0,11.426,12.994,13.028,0,1,partition,2
1778034161.737527,82.052,1.0,50.0,10.959,11.79,12.621,0,1,partition,2
1778034162.0390654,82.353,1.0,50.0,12.622,12.918,13.02,0,1,partition,2
1778034162.3422964,82.656,1.0,46.67,11.129,12.669,12.701,0,1,partition,2
1778034162.6445417,82.959,0.99375,53.33,12.733,14.745,17.192,0,1,partition,2
1778034162.9460793,83.26,1.0,50.0,12.21,13.022,13.036,0,1,partition,2
1778034163.2476356,83.562,1.0,50.0,12.943,13.25,13.304,0,1,partition,2
1778034163.5491555,83.863,1.0,50.0,12.792,13.511,13.633,0,1,partition,2
1778034163.850688,84.165,0.993333,50.0,12.693,12.906,12.914,0,1,partition,2
1778034164.1522584,84.466,1.0,50.0,12.297,13.153,13.432,0,1,partition,2
1778034164.4537854,84.768,1.0,50.0,12.89,13.279,13.551,0,1,partition,2
1778034164.7552974,85.069,1.0,50.0,12.947,13.34,13.632,0,1,partition,2
1778034165.0567925,85.371,0.993333,50.0,12.869,13.141,13.225,0,1,partition,2
1778034165.3583298,85.672,0.993333,50.0,11.023,13.21,13.347,0,1,partition,2
1778034165.6598701,85.974,1.0,50.0,12.8,13.074,13.125,0,1,partition,2
1778034165.9613833,86.276,1.0,50.0,11.114,13.44,13.529,0,1,partition,2
1778034166.2628887,86.577,1.0,50.0,12.935,13.336,13.544,0,1,partition,2
1778034166.5643506,86.878,1.0,50.0,12.844,13.19,13.285,0,1,partition,2
1778034166.8665779,87.181,0.993333,50.0,12.895,15.101,15.739,0,1,partition,2
1778034167.1682084,87.482,1.0,50.0,12.937,13.2,13.446,0,1,partition,2
1778034167.4697304,87.784,0.993333,50.0,12.841,13.402,13.422,0,1,partition,2
1778034167.7712917,88.085,1.0,50.0,11.137,13.029,13.099,0,1,partition,2
1778034168.0728092,88.387,1.0,50.0,11.285,13.146,13.289,0,1,partition,2
1778034168.3743563,88.688,1.0,50.0,11.015,13.23,13.639,0,1,partition,2
1778034168.675916,88.99,1.0,50.0,12.91,13.597,13.65,0,1,partition,2
1778034168.977438,89.292,1.0,50.0,11.053,12.963,13.074,0,1,partition,2
1778034169.278971,89.593,1.0,50.0,11.037,13.35,13.432,0,1,partition,2
1778034169.5803542,89.894,1.0,50.0,12.688,13.121,13.217,0,1,partition,2
1778034169.8819122,90.196,1.0,50.0,12.75,13.36,13.766,0,1,partition,2
1778034170.1834683,90.498,1.0,50.0,12.951,13.326,13.402,0,1,partition,2
1778034170.4849892,90.799,1.0,50.0,11.939,12.89,12.908,0,1,partition,2
1778034170.7865198,91.101,1.0,50.0,9.971,11.819,11.906,0,1,partition,2
1778034171.0880644,91.402,0.993333,50.0,10.18,12.089,12.13,0,0,partition,2
1778034171.3895779,91.704,1.0,50.0,10.113,11.955,11.971,0,0,partition,2
1778034171.6910882,92.005,0.993333,50.0,9.877,11.951,12.043,0,0,partition,2
1778034171.9926205,92.307,1.0,50.0,10.088,12.141,12.292,0,0,partition,2
1778034172.2941363,92.608,1.0,50.0,11.796,12.226,12.286,0,0,partition,2
