timestamp_unix,elapsed_s,recall_at_k,qps,p50_ms,p95_ms,p99_ms,error_count,fault_active,fault_type,replication_factor
1778032538.9036973,0.302,1.0,50.0,9.993,14.065,17.259,0,0,kill,3
1778032539.207091,0.606,1.0,50.0,12.59,13.564,13.586,0,0,kill,3
1778032539.509205,0.908,1.0,50.0,11.485,11.955,12.461,0,0,kill,3
1778032539.8109477,1.21,1.0,50.0,11.439,12.567,12.582,0,0,kill,3
1778032540.1123936,1.511,1.0,50.0,10.124,11.672,11.821,0,0,kill,3
1778032540.4138145,1.812,0.993333,50.0,12.664,13.454,13.471,0,0,kill,3
1778032540.7158275,2.115,1.0,50.0,12.37,13.522,13.795,0,0,kill,3
1778032541.017498,2.416,1.0,50.0,12.77,13.436,13.508,0,0,kill,3
1778032541.3191178,2.718,1.0,50.0,12.531,13.54,13.57,0,0,kill,3
1778032541.6212087,3.02,0.993333,50.0,12.437,13.891,13.93,0,0,kill,3
1778032541.9231808,3.322,1.0,50.0,13.076,13.867,13.984,0,0,kill,3
1778032542.2253845,3.624,1.0,50.0,13.063,14.319,14.686,0,0,kill,3
1778032542.5276415,3.926,1.0,50.0,13.016,13.821,14.036,0,0,kill,3
1778032542.8292878,4.228,1.0,50.0,12.889,13.125,13.133,0,0,kill,3
1778032543.1309326,4.53,1.0,50.0,12.865,13.24,13.351,0,0,kill,3
1778032543.4324548,4.831,1.0,50.0,11.765,13.25,13.293,0,0,kill,3
1778032543.7340455,5.133,1.0,50.0,11.434,12.914,13.253,0,0,kill,3
1778032544.0361412,5.435,1.0,33.33,11.375,73.096,105.097,0,0,kill,3
1778032544.3377373,5.736,1.0,50.0,10.05,11.598,11.96,0,0,kill,3
1778032544.6394155,6.038,1.0,50.0,11.799,12.214,12.251,0,0,kill,3
1778032544.9410815,6.34,1.0,50.0,11.371,11.811,11.879,0,0,kill,3
1778032545.2427459,6.641,0.993333,50.0,11.309,16.592,17.474,0,0,kill,3
1778032545.5444257,6.943,1.0,50.0,12.606,13.878,14.758,0,0,kill,3
1778032545.846073,7.245,0.993333,50.0,12.508,12.786,12.909,0,0,kill,3
1778032546.147793,7.546,1.0,50.0,12.915,13.452,13.783,0,0,kill,3
1778032546.4495258,7.848,1.0,50.0,12.626,12.882,13.042,0,0,kill,3
1778032546.751204,8.15,1.0,50.0,12.831,13.338,13.682,0,0,kill,3
1778032547.0528407,8.452,1.0,50.0,13.018,13.181,13.184,0,0,kill,3
1778032547.3544407,8.753,0.993333,50.0,13.104,13.447,13.679,0,0,kill,3
1778032547.6561463,9.055,1.0,50.0,12.551,13.159,13.198,0,0,kill,3
1778032547.95769,9.356,1.0,50.0,11.276,12.266,12.651,0,0,kill,3
1778032548.2593346,9.658,1.0,50.0,12.581,13.401,13.709,0,0,kill,3
1778032548.5609148,9.96,1.0,50.0,12.951,13.311,13.502,0,0,kill,3
1778032548.8636672,10.262,1.0,50.0,13.052,16.391,16.704,0,0,kill,3
1778032549.1653574,10.564,1.0,50.0,14.364,15.828,15.927,0,0,kill,3
1778032549.4669936,10.866,1.0,50.0,13.452,14.435,15.065,0,0,kill,3
1778032549.7685254,11.167,1.0,50.0,13.17,13.654,13.668,0,0,kill,3
1778032550.0700393,11.469,1.0,50.0,12.735,13.321,13.322,0,0,kill,3
1778032550.3716655,11.77,0.993333,50.0,13.042,13.666,13.882,0,0,kill,3
1778032550.6732829,12.072,1.0,50.0,13.282,13.898,14.25,0,0,kill,3
1778032550.9749675,12.374,1.0,50.0,12.958,13.318,13.702,0,0,kill,3
1778032551.2764313,12.675,1.0,50.0,12.709,13.304,13.309,0,0,kill,3
1778032551.5780554,12.977,1.0,50.0,12.876,13.23,13.286,0,0,kill,3
1778032551.8797143,13.278,1.0,50.0,12.909,13.471,13.526,0,0,kill,3
1778032552.181362,13.58,1.0,50.0,12.778,13.635,13.91,0,0,kill,3
1778032552.4840283,13.883,1.0,50.0,11.269,12.779,12.912,0,0,kill,3
1778032552.7859664,14.185,1.0,50.0,12.839,13.4,13.549,0,0,kill,3
1778032553.0885127,14.487,1.0,50.0,13.143,13.959,14.035,0,0,kill,3
1778032553.3904102,14.789,1.0,53.33,12.707,13.47,13.904,0,0,kill,3
1778032553.6920435,15.091,1.0,46.67,13.191,13.36,13.386,0,0,kill,3
1778032553.9946146,15.393,1.0,53.33,12.744,15.311,17.642,0,0,kill,3
1778032554.296248,15.695,1.0,50.0,12.814,13.226,13.395,0,0,kill,3
1778032554.597769,15.996,0.993333,50.0,12.692,13.249,13.401,0,0,kill,3
1778032554.8993127,16.298,1.0,50.0,12.658,13.145,13.39,0,0,kill,3
1778032555.2011256,16.6,1.0,46.67,13.09,14.074,14.205,0,0,kill,3
1778032555.50262,16.901,1.0,53.33,12.737,13.5,14.554,0,0,kill,3
1778032555.8041668,17.203,1.0,50.0,12.449,13.167,13.28,0,0,kill,3
1778032556.1056376,17.504,1.0,50.0,12.506,13.461,13.567,0,0,kill,3
1778032556.4071662,17.806,0.993333,50.0,10.872,11.745,12.367,0,0,kill,3
1778032556.7087433,18.107,0.993333,50.0,12.652,12.901,12.913,0,0,kill,3
1778032557.0102487,18.409,1.0,50.0,12.871,13.247,13.323,0,0,kill,3
1778032557.3121243,18.711,1.0,46.67,13.004,13.388,13.641,0,0,kill,3
1778032557.6141646,19.013,1.0,50.0,13.411,14.576,14.769,0,0,kill,3
1778032557.915761,19.314,0.99375,53.33,13.412,18.874,19.564,0,0,kill,3
1778032558.2172732,19.616,1.0,50.0,12.777,13.167,13.186,0,0,kill,3
1778032558.5187845,19.917,0.993333,50.0,12.683,14.172,15.547,0,0,kill,3
1778032558.8203113,20.219,0.993333,50.0,12.634,13.884,14.008,0,0,kill,3
1778032559.1241364,20.523,1.0,46.67,12.324,13.938,15.386,0,0,kill,3
1778032559.425754,20.824,1.0,53.33,12.691,14.639,17.134,0,0,kill,3
1778032559.7272973,21.126,1.0,50.0,12.292,12.599,12.784,0,0,kill,3
1778032560.028787,21.427,1.0,50.0,12.353,12.712,12.755,0,0,kill,3
1778032560.330312,21.729,1.0,50.0,12.494,13.206,13.271,0,0,kill,3
1778032560.6318374,22.031,0.993333,50.0,12.584,13.198,13.246,0,0,kill,3
1778032560.9333565,22.332,1.0,50.0,12.156,12.775,13.064,0,0,kill,3
1778032561.23487,22.634,1.0,50.0,12.95,13.464,13.609,0,0,kill,3
1778032561.5363486,22.935,1.0,50.0,12.758,12.984,13.012,0,0,kill,3
1778032561.8378556,23.237,1.0,50.0,12.569,13.778,15.055,0,0,kill,3
1778032562.1394227,23.538,1.0,50.0,12.582,12.888,13.154,0,0,kill,3
1778032562.4409163,23.84,1.0,50.0,12.466,13.44,13.549,0,0,kill,3
1778032562.742407,24.141,1.0,50.0,13.174,13.746,13.75,0,0,kill,3
1778032563.043933,24.443,1.0,50.0,12.352,13.646,14.127,0,0,kill,3
1778032563.3454704,24.744,0.993333,50.0,12.51,13.072,13.389,0,0,kill,3
1778032563.6469917,25.046,0.993333,50.0,13.114,13.5,13.567,0,0,kill,3
1778032563.9485059,25.347,0.986667,50.0,12.382,13.56,14.042,0,0,kill,3
1778032564.2500224,25.649,0.993333,50.0,12.33,12.749,12.96,0,0,kill,3
1778032564.551592,25.95,1.0,50.0,12.487,12.973,13.08,0,0,kill,3
1778032564.8530989,26.252,1.0,50.0,12.574,12.872,13.016,0,0,kill,3
1778032565.1553576,26.554,1.0,50.0,12.863,14.622,14.638,0,0,kill,3
1778032565.4570026,26.856,1.0,50.0,12.787,13.173,13.369,0,0,kill,3
1778032565.758536,27.157,1.0,50.0,12.616,12.936,12.978,0,0,kill,3
1778032566.0601394,27.459,0.993333,50.0,12.902,13.39,13.394,0,0,kill,3
1778032566.3616881,27.76,1.0,50.0,12.581,12.957,12.971,0,0,kill,3
